Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"CASR","Calcium Sensing Receptor","Protein Coding","50","GC03P122183","115.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR"
"ANKH","ANKH Inorganic Pyrophosphate Transport Regulator","Protein Coding","40","GC05M014706","84.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKH"
"PTH","Parathyroid Hormone","Protein Coding","47","GC11M013492","73.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH"
"CACNA1C","Calcium Voltage-Gated Channel Subunit Alpha1 C","Protein Coding","48","GC12P001970","64.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C"
"CACNA1A","Calcium Voltage-Gated Channel Subunit Alpha1 A","Protein Coding","47","GC19M013206","57.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1A"
"GNA11","G Protein Subunit Alpha 11","Protein Coding","47","GC19P003094","54.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNA11"
"CACNA1S","Calcium Voltage-Gated Channel Subunit Alpha1 S","Protein Coding","48","GC01M201008","53.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1S"
"OTULIN","OTU Deubiquitinase With Linear Linkage Specificity","Protein Coding","38","GC05P014667","53.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTULIN"
"RYR1","Ryanodine Receptor 1","Protein Coding","47","GC19P038528","52.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"FGF23","Fibroblast Growth Factor 23","Protein Coding","45","GC12M004368","51.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23"
"TRPV6","Transient Receptor Potential Cation Channel Subfamily V Member 6","Protein Coding","46","GC07M142871","49.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV6"
"CACNA1B","Calcium Voltage-Gated Channel Subunit Alpha1 B","Protein Coding","48","GC09P137877","49.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1B"
"AP2S1","Adaptor Related Protein Complex 2 Subunit Sigma 1","Protein Coding","41","GC19M046838","49.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP2S1"
"SLC34A1","Solute Carrier Family 34 Member 1","Protein Coding","44","GC05P177380","48.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A1"
"CACNB2","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 2","Protein Coding","47","GC10P018165","48.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB2"
"CACNA1D","Calcium Voltage-Gated Channel Subunit Alpha1 D","Protein Coding","47","GC03P053328","48.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1D"
"ORAI1","ORAI Calcium Release-Activated Calcium Modulator 1","Protein Coding","44","GC12P122835","48.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI1"
"CYP27B1","Cytochrome P450 Family 27 Subfamily B Member 1","Protein Coding","47","GC12M057757","47.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27B1"
"GCM2","Glial Cells Missing Transcription Factor 2","Protein Coding","41","GC06M010873","47.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCM2"
